[2026-07-14T17:18:20.117Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-14T17:18:20.122Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-14T17:18:20.123Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-14T17:18:20.125Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-14T17:18:20.126Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-14T17:18:20.127Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-14T17:18:20.131Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-14T17:18:20.132Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-14T17:18:20.135Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-14T17:48:20.219Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T17:48:20.222Z] [INFO] Worker map completed in 7ms
[2026-07-14T17:50:20.342Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T17:50:20.346Z] [INFO] Worker audit completed in 10ms
[2026-07-14T17:52:20.232Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T17:52:20.236Z] [INFO] Worker optimize completed in 28ms
[2026-07-14T17:54:20.163Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T17:54:20.165Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T17:54:20.168Z] [INFO] Worker consolidate completed in 10ms
[2026-07-14T18:00:20.365Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:00:20.371Z] [INFO] Worker audit completed in 10ms
[2026-07-14T18:03:20.246Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T18:03:20.249Z] [INFO] Worker map completed in 7ms
[2026-07-14T18:06:20.291Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T18:06:20.294Z] [INFO] Worker testgaps completed in 6ms
[2026-07-14T18:07:20.252Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T18:07:20.255Z] [INFO] Worker optimize completed in 6ms
[2026-07-14T18:10:20.385Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:10:20.387Z] [INFO] Worker audit completed in 6ms
[2026-07-14T18:18:20.258Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T18:18:20.261Z] [INFO] Worker map completed in 8ms
[2026-07-14T18:20:20.406Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:20:20.408Z] [INFO] Worker audit completed in 6ms
[2026-07-14T18:22:20.278Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T18:22:20.281Z] [INFO] Worker optimize completed in 8ms
[2026-07-14T18:24:20.184Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T18:24:20.185Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T18:24:20.186Z] [INFO] Worker consolidate completed in 5ms
[2026-07-14T18:26:20.304Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T18:26:20.308Z] [INFO] Worker testgaps completed in 8ms
[2026-07-14T18:30:20.423Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:30:20.425Z] [INFO] Worker audit completed in 5ms
[2026-07-14T18:33:20.274Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T18:33:20.276Z] [INFO] Worker map completed in 4ms
[2026-07-14T18:37:20.301Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T18:37:20.311Z] [INFO] Worker optimize completed in 15ms
[2026-07-14T18:40:20.440Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:40:20.443Z] [INFO] Worker audit completed in 5ms
[2026-07-14T18:46:20.322Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T18:46:20.327Z] [INFO] Worker testgaps completed in 10ms
[2026-07-14T18:48:20.294Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T18:48:20.296Z] [INFO] Worker map completed in 5ms
[2026-07-14T18:50:20.461Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T18:50:20.462Z] [INFO] Worker audit completed in 4ms
[2026-07-14T18:52:20.354Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T18:52:20.357Z] [INFO] Worker optimize completed in 8ms
[2026-07-14T18:54:20.201Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T18:54:20.202Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T18:54:20.204Z] [INFO] Worker consolidate completed in 7ms
[2026-07-14T19:00:20.478Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:00:20.482Z] [INFO] Worker audit completed in 9ms
[2026-07-14T19:03:20.311Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:03:20.313Z] [INFO] Worker map completed in 11ms
[2026-07-14T19:06:20.343Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T19:06:20.346Z] [INFO] Worker testgaps completed in 7ms
[2026-07-14T19:07:20.374Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:07:20.376Z] [INFO] Worker optimize completed in 5ms
[2026-07-14T19:10:20.505Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:10:20.519Z] [INFO] Worker audit completed in 19ms
[2026-07-14T19:18:20.340Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:18:20.344Z] [INFO] Worker map completed in 9ms
[2026-07-14T19:20:20.545Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:20:20.558Z] [INFO] Worker audit completed in 25ms
[2026-07-14T19:22:20.395Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:22:20.398Z] [INFO] Worker optimize completed in 7ms
[2026-07-14T19:24:20.225Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T19:24:20.227Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T19:24:20.230Z] [INFO] Worker consolidate completed in 8ms
[2026-07-14T19:26:20.359Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T19:26:20.361Z] [INFO] Worker testgaps completed in 5ms
[2026-07-14T19:30:20.615Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:30:20.617Z] [INFO] Worker audit completed in 39ms
[2026-07-14T19:33:20.355Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:33:20.359Z] [INFO] Worker map completed in 7ms
[2026-07-14T19:37:20.416Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:37:20.419Z] [INFO] Worker optimize completed in 6ms
[2026-07-14T19:40:20.628Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:40:20.638Z] [INFO] Worker audit completed in 14ms
[2026-07-14T19:46:20.381Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T19:46:20.383Z] [INFO] Worker testgaps completed in 5ms
[2026-07-14T19:48:20.382Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:48:20.385Z] [INFO] Worker map completed in 7ms
[2026-07-14T19:50:20.658Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:50:20.661Z] [INFO] Worker audit completed in 7ms
[2026-07-14T19:52:20.438Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:52:20.440Z] [INFO] Worker optimize completed in 5ms
[2026-07-14T19:54:20.246Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T19:54:20.247Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T19:54:20.248Z] [INFO] Worker consolidate completed in 5ms
[2026-07-14T20:00:20.678Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:00:20.682Z] [INFO] Worker audit completed in 8ms
[2026-07-14T20:03:20.407Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T20:03:20.421Z] [INFO] Worker map completed in 19ms
[2026-07-14T20:06:20.401Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T20:06:20.405Z] [INFO] Worker testgaps completed in 8ms
[2026-07-14T20:07:20.455Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T20:07:20.460Z] [INFO] Worker optimize completed in 7ms
[2026-07-14T20:10:20.702Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:10:20.705Z] [INFO] Worker audit completed in 6ms
[2026-07-14T20:18:20.445Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T20:18:20.448Z] [INFO] Worker map completed in 7ms
[2026-07-14T20:20:20.725Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:20:20.727Z] [INFO] Worker audit completed in 4ms
[2026-07-14T20:22:20.481Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T20:22:20.484Z] [INFO] Worker optimize completed in 9ms
[2026-07-14T20:24:20.267Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T20:24:20.269Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T20:24:20.274Z] [INFO] Worker consolidate completed in 10ms
[2026-07-14T20:26:20.426Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T20:26:20.430Z] [INFO] Worker testgaps completed in 11ms
[2026-07-14T20:30:20.742Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:30:20.747Z] [INFO] Worker audit completed in 10ms
[2026-07-14T20:33:20.461Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T20:33:20.466Z] [INFO] Worker map completed in 9ms
[2026-07-14T20:37:20.496Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T20:37:20.498Z] [INFO] Worker optimize completed in 6ms
[2026-07-14T20:40:20.769Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:40:20.772Z] [INFO] Worker audit completed in 6ms
[2026-07-14T20:46:20.445Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T20:46:20.446Z] [INFO] Worker testgaps completed in 5ms
[2026-07-14T20:48:20.481Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T20:48:20.486Z] [INFO] Worker map completed in 10ms
[2026-07-14T20:50:20.803Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T20:50:20.846Z] [INFO] Worker audit completed in 60ms
[2026-07-14T20:52:20.513Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T20:52:20.517Z] [INFO] Worker optimize completed in 11ms
[2026-07-14T20:54:20.284Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T20:54:20.287Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T20:54:20.290Z] [INFO] Worker consolidate completed in 11ms
[2026-07-14T21:00:20.868Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T21:00:20.870Z] [INFO] Worker audit completed in 6ms
[2026-07-14T21:03:20.510Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T21:03:20.518Z] [INFO] Worker map completed in 13ms
[2026-07-14T21:06:20.471Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T21:06:20.478Z] [INFO] Worker testgaps completed in 15ms
[2026-07-14T21:07:20.537Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T21:07:20.547Z] [INFO] Worker optimize completed in 17ms
[2026-07-14T21:10:20.878Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T21:10:20.880Z] [INFO] Worker audit completed in 6ms
[2026-07-14T21:18:20.534Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T21:18:20.538Z] [INFO] Worker map completed in 8ms
[2026-07-14T21:20:20.899Z] [INFO] Worker audit deferred: Memory too low: 7.4% free
[2026-07-14T21:22:20.580Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T21:22:20.586Z] [INFO] Worker optimize completed in 18ms
[2026-07-14T21:22:20.603Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T21:22:20.608Z] [INFO] Worker audit completed in 11ms
[2026-07-14T21:24:20.308Z] [INFO] Worker consolidate deferred: Memory too low: 8.7% free
[2026-07-14T21:26:20.493Z] [INFO] Worker testgaps deferred: Memory too low: 8.9% free
[2026-07-14T21:30:20.913Z] [INFO] Worker audit deferred: Memory too low: 8.3% free
[2026-07-14T21:33:20.555Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T21:33:20.561Z] [INFO] Worker map completed in 9ms
[2026-07-14T21:33:20.568Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T21:33:20.571Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T21:33:20.575Z] [INFO] Worker consolidate completed in 10ms
[2026-07-14T21:33:20.581Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T21:33:20.586Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-14T21:33:20.589Z] [INFO] Worker testgaps completed in 10ms
[2026-07-14T21:33:20.593Z] [INFO] Worker audit completed in 10ms
[2026-07-14T21:37:20.610Z] [INFO] Worker optimize deferred: Memory too low: 7.4% free
[2026-07-14T21:40:20.932Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T21:40:20.935Z] [INFO] Worker audit completed in 6ms
[2026-07-14T21:40:20.941Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T21:40:20.946Z] [INFO] Worker optimize completed in 8ms
[2026-07-14T21:46:20.513Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T21:46:20.516Z] [INFO] Worker testgaps completed in 6ms
[2026-07-14T21:48:20.581Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T21:48:20.583Z] [INFO] Worker map completed in 5ms
[2026-07-14T21:50:20.954Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T21:50:20.958Z] [INFO] Worker audit completed in 9ms
[2026-07-14T21:52:20.633Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T21:52:20.635Z] [INFO] Worker optimize completed in 6ms
[2026-07-14T21:54:20.330Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T21:54:20.333Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T21:54:20.335Z] [INFO] Worker consolidate completed in 10ms
[2026-07-14T22:00:20.978Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:00:20.983Z] [INFO] Worker audit completed in 12ms
[2026-07-14T22:03:20.601Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T22:03:20.606Z] [INFO] Worker map completed in 8ms
[2026-07-14T22:06:20.534Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T22:06:20.539Z] [INFO] Worker testgaps completed in 9ms
[2026-07-14T22:07:20.657Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T22:07:20.662Z] [INFO] Worker optimize completed in 9ms
[2026-07-14T22:10:20.995Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:10:20.997Z] [INFO] Worker audit completed in 6ms
[2026-07-14T22:18:20.624Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T22:18:20.629Z] [INFO] Worker map completed in 9ms
[2026-07-14T22:20:21.016Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:20:21.018Z] [INFO] Worker audit completed in 4ms
[2026-07-14T22:22:20.675Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T22:22:20.676Z] [INFO] Worker optimize completed in 4ms
[2026-07-14T22:24:20.351Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T22:24:20.354Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T22:24:20.358Z] [INFO] Worker consolidate completed in 12ms
[2026-07-14T22:26:20.549Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T22:26:20.551Z] [INFO] Worker testgaps completed in 5ms
[2026-07-14T22:30:21.039Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:30:21.041Z] [INFO] Worker audit completed in 6ms
[2026-07-14T22:33:20.641Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T22:33:20.643Z] [INFO] Worker map completed in 5ms
[2026-07-14T22:37:20.688Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T22:37:20.690Z] [INFO] Worker optimize completed in 5ms
[2026-07-14T22:40:21.055Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:40:21.057Z] [INFO] Worker audit completed in 5ms
[2026-07-14T22:46:20.583Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-14T22:46:20.606Z] [INFO] Worker testgaps completed in 46ms
[2026-07-14T22:48:20.652Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T22:48:20.654Z] [INFO] Worker map completed in 5ms
[2026-07-14T22:50:21.070Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T22:50:21.077Z] [INFO] Worker audit completed in 12ms
[2026-07-14T22:52:20.704Z] [INFO] Worker optimize deferred: Memory too low: 5.9% free
[2026-07-14T22:54:20.371Z] [INFO] Worker consolidate deferred: Memory too low: 6.6% free
[2026-07-14T23:00:21.093Z] [INFO] Worker audit deferred: Memory too low: 4.5% free
[2026-07-14T23:03:20.658Z] [INFO] Worker map deferred: Memory too low: 5.5% free
[2026-07-14T23:06:20.616Z] [INFO] Worker testgaps deferred: Memory too low: 4.5% free
[2026-07-14T23:07:20.720Z] [INFO] Worker optimize deferred: Memory too low: 4.9% free
[2026-07-14T23:10:21.104Z] [INFO] Worker audit deferred: Memory too low: 5.5% free
[2026-07-14T23:18:20.666Z] [INFO] Worker map deferred: Memory too low: 6.1% free
[2026-07-14T23:20:21.116Z] [INFO] Worker audit deferred: Memory too low: 6.8% free
[2026-07-14T23:22:20.729Z] [INFO] Worker optimize deferred: Memory too low: 6.8% free
[2026-07-14T23:24:20.381Z] [INFO] Worker consolidate deferred: Memory too low: 8.4% free
[2026-07-14T23:26:20.622Z] [INFO] Worker testgaps deferred: Memory too low: 7.0% free
[2026-07-14T23:30:20.255Z] [INFO] Worker harness deferred: Memory too low: 5.3% free
[2026-07-14T23:30:21.129Z] [INFO] Worker audit deferred: Memory too low: 5.4% free
[2026-07-14T23:33:20.679Z] [INFO] Worker map deferred: Memory too low: 5.1% free
[2026-07-14T23:37:20.739Z] [INFO] Worker optimize deferred: Memory too low: 6.6% free
[2026-07-14T23:40:21.133Z] [INFO] Worker audit deferred: Memory too low: 5.6% free
[2026-07-14T23:46:20.631Z] [INFO] Worker testgaps deferred: Memory too low: 7.1% free
[2026-07-14T23:48:20.682Z] [INFO] Worker map deferred: Memory too low: 6.1% free
[2026-07-14T23:50:21.143Z] [INFO] Worker audit deferred: Memory too low: 6.4% free
[2026-07-14T23:52:20.746Z] [INFO] Worker optimize deferred: Memory too low: 6.7% free
[2026-07-14T23:54:20.397Z] [INFO] Worker consolidate deferred: Memory too low: 6.7% free
[2026-07-15T00:00:21.150Z] [INFO] Worker audit deferred: Memory too low: 4.5% free
[2026-07-15T00:03:20.684Z] [INFO] Worker map deferred: Memory too low: 5.5% free
[2026-07-15T00:06:20.642Z] [INFO] Worker testgaps deferred: Memory too low: 5.7% free
[2026-07-15T00:07:20.758Z] [INFO] Worker optimize deferred: Memory too low: 4.7% free
[2026-07-15T00:10:21.154Z] [INFO] Worker audit deferred: Memory too low: 9.8% free
[2026-07-15T00:18:20.702Z] [INFO] Worker map deferred: Memory too low: 6.5% free
[2026-07-15T00:20:21.171Z] [INFO] Worker audit deferred: Memory too low: 6.4% free
[2026-07-15T00:22:20.765Z] [INFO] Worker optimize deferred: Memory too low: 6.9% free
[2026-07-15T00:24:20.410Z] [INFO] Worker consolidate deferred: Memory too low: 8.0% free
[2026-07-15T00:26:20.645Z] [INFO] Worker testgaps deferred: Memory too low: 5.8% free
[2026-07-15T00:30:21.181Z] [INFO] Worker audit deferred: Memory too low: 8.3% free
[2026-07-15T00:33:20.715Z] [INFO] Worker map deferred: Memory too low: 8.9% free
[2026-07-15T00:37:20.798Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T00:37:20.808Z] [INFO] Worker optimize completed in 15ms
[2026-07-15T00:37:20.820Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T00:37:20.824Z] [INFO] Worker optimize completed in 7ms
[2026-07-15T00:37:20.838Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T00:37:20.843Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T00:37:20.852Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-15T00:37:20.856Z] [INFO] Worker consolidate completed in 25ms
[2026-07-15T00:37:20.872Z] [INFO] Worker audit completed in 24ms
[2026-07-15T00:37:20.889Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T00:37:20.905Z] [INFO] Starting worker: testgaps (2/2 concurrent)
[2026-07-15T00:37:20.916Z] [INFO] Starting worker: optimize (3/2 concurrent)
[2026-07-15T00:37:20.934Z] [INFO] Starting worker: audit (4/2 concurrent)
[2026-07-15T00:37:20.938Z] [INFO] Worker map completed in 54ms
[2026-07-15T00:37:20.948Z] [INFO] Worker testgaps completed in 50ms
[2026-07-15T00:37:20.959Z] [INFO] Worker optimize completed in 48ms
[2026-07-15T00:37:20.967Z] [INFO] Worker audit completed in 41ms
[2026-07-15T00:37:20.979Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T00:37:20.992Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-15T00:37:21.000Z] [INFO] Starting worker: optimize (3/2 concurrent)
[2026-07-15T00:37:21.008Z] [INFO] Starting worker: consolidate (4/2 concurrent)
[2026-07-15T00:37:21.026Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T00:37:21.035Z] [INFO] Starting worker: testgaps (5/2 concurrent)
[2026-07-15T00:37:21.040Z] [INFO] Worker map completed in 65ms
[2026-07-15T00:37:21.054Z] [INFO] Worker audit completed in 66ms
[2026-07-15T00:37:21.061Z] [INFO] Worker optimize completed in 65ms
[2026-07-15T00:37:21.066Z] [INFO] Worker consolidate completed in 62ms
[2026-07-15T00:37:21.097Z] [INFO] Worker testgaps completed in 67ms
[2026-07-15T00:37:21.107Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-15T00:37:21.137Z] [INFO] Starting worker: audit (2/2 concurrent)
[2026-07-15T00:37:21.146Z] [INFO] Starting worker: map (3/2 concurrent)
[2026-07-15T00:37:21.165Z] [INFO] Starting worker: optimize (4/2 concurrent)
[2026-07-15T00:37:21.174Z] [INFO] Starting worker: audit (4/2 concurrent)
[2026-07-15T00:37:21.191Z] [INFO] Starting worker: testgaps (5/2 concurrent)
[2026-07-15T00:37:21.207Z] [INFO] Worker audit completed in 93ms
[2026-07-15T00:37:21.222Z] [INFO] Worker map completed in 81ms
[2026-07-15T00:37:21.259Z] [INFO] Worker optimize completed in 109ms
[2026-07-15T00:37:21.265Z] [INFO] Worker audit completed in 96ms
[2026-07-15T00:37:21.285Z] [INFO] Worker testgaps completed in 106ms
[2026-07-15T00:37:21.314Z] [INFO] Starting worker: map (2/2 concurrent)
[2026-07-15T00:37:21.323Z] [INFO] Starting worker: audit (3/2 concurrent)
[2026-07-15T00:37:21.328Z] [INFO] Worker harness completed in 225ms
[2026-07-15T00:37:21.335Z] [INFO] Worker map completed in 28ms
[2026-07-15T00:37:21.342Z] [INFO] Worker audit completed in 23ms
[2026-07-15T00:37:21.356Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T00:37:21.365Z] [INFO] Starting worker: consolidate (2/2 concurrent)
[2026-07-15T00:37:21.373Z] [INFO] Starting worker: audit (3/2 concurrent)
[2026-07-15T00:37:21.379Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T00:37:21.390Z] [INFO] Starting worker: map (4/2 concurrent)
[2026-07-15T00:37:21.415Z] [INFO] Worker optimize completed in 62ms
[2026-07-15T00:37:21.423Z] [INFO] Worker consolidate completed in 62ms
[2026-07-15T00:37:21.443Z] [INFO] Worker audit completed in 74ms
